day,time,Hour,Min,Len,period
1,08:20:00 AM,8,20,70,1
1,09:35:00 AM,9,35,45,2
1,10:25:00 AM,10,25,70,5
1,11:40:00 AM,11,40,45,4
1,12:30:00 PM,12,30,45,3
1,01:20:00 PM,13,20,45,8
1,02:10:00 PM,14,10,35,f1
2,08:00:00 AM,8,0,45,3
2,08:50:00 AM,8,50,45,6
2,09:50:00 AM,9,50,45,Chapel
2,10:45:00 AM,10,45,45,4
2,11:35:00 AM,11,35,45,5
2,12:25:00 PM,12,25,70,7
2,01:40:00 PM,13,40,45,1
3,07:45:00 AM,7,45,55,f2
3,08:45:00 AM,8,45,70,8
3,10:00:00 AM,10,0,45,2
3,10:50:00 AM,10,50,70,6
4,08:20:00 AM,8,20,70,3
4,09:35:00 AM,9,35,45,7
4,10:25:00 AM,10,25,70,4
4,11:40:00 AM,11,40,45,5
4,12:30:00 PM,12,30,45,8
4,01:20:00 PM,13,20,45,1
4,02:10:00 PM,14,10,35,fb3
5,08:20:00 AM,8,20,70,2
5,09:10:00 AM,9,10,45,1
5,10:00:00 AM,10,0,45,6
5,10:50:00 AM,10,50,45,4
5,11:40:00 AM,11,40,45,5
5,12:30:00 PM,12,30,45,7
5,01:20:00 PM,13,20,45,8
6,08:15:00 AM,8,15,45,2
6,09:05:00 AM,9,5,45,3
6,09:55:00 AM,9,55,45,6
6,10:45:00 AM,10,45,45,7
